,30min_Coin1,30min_Coin2,30min_Score,30min_P-Value,30min_OLS-Constant,30min_OLS-Coefficient,30min_R-squared,30min_Adjusted-R-squared
51,XRPUSDT,LINKUSDT,-2.847037624377994,0.15117628899358826,0.4257722539664593,0.008884145220723384,0.23244136430744167,0.23241212731983296
52,XRPUSDT,ATOMUSDT,-3.114181883999687,0.0854897741499035,0.6156176986550728,-0.009336477557989992,0.04437847736478007,0.04434207689540004
53,XRPUSDT,XMRUSDT,-2.879401475437266,0.14172290308641655,0.5436972708144125,-0.00016965677494165297,0.01658751243833201,0.016550053386507058
54,ADAUSDT,DOGEUSDT,-1.7474179581233593,0.6548936197211697,0.18863053243215233,2.3224374965409016,0.456462220325516,0.4564415164905381
55,ADAUSDT,SOLUSDT,-1.5726020110366876,0.7323142432524967,0.29760981398461417,0.0016665663293858504,0.5794994819705619,0.5794834647337498
56,ADAUSDT,MATICUSDT,-1.4856207644428467,0.7666644951492274,0.19830812549351468,0.25027084025388413,0.18579116680993113,0.18576015287502123
57,ADAUSDT,DOTUSDT,-3.114030768658266,0.085519377313445,-0.07561565010630761,0.07839152443160713,0.8939694559490425,0.8939654171517983
58,ADAUSDT,LTCUSDT,-1.530121398118215,0.7494615001002576,0.2625397660100592,0.0017926843918435876,0.02685204767999516,0.02681497961340018
59,ADAUSDT,TRXUSDT,-1.5451599706928736,0.7434710983863505,0.054366147039859064,3.8299157314064525,0.5195580676697537,0.5195397672114316
60,ADAUSDT,AVAXUSDT,-3.3729684804439115,0.04544280381385991,0.19095331188016404,0.009118466750991663,0.8828356558803963,0.8828311929868558
61,ADAUSDT,SHIBUSDT,-1.825598790513045,0.6172065404395438,0.263578425247527,11220.887018676427,0.3977031653735803,0.3976802233542063
62,ADAUSDT,LINKUSDT,-2.0710417651342254,0.491509437110518,0.16754112959521297,0.02177729749762911,0.7136120983180416,0.7136011895494558
63,ADAUSDT,ATOMUSDT,-1.451858424199649,0.7791858803106337,0.13145591470359186,0.027958513367622242,0.20333238299841383,0.2033020372239499
64,ADAUSDT,XMRUSDT,-1.9627237211104125,0.5478919470677861,0.5206198940438851,-0.0009546217746534149,0.2683327232028777,0.2683048533488879
65,DOGEUSDT,SOLUSDT,-2.994139503279851,0.11160510803233353,0.056715881399920155,0.0005686819653677515,0.7973150977791073,0.7973073773318357
66,DOGEUSDT,MATICUSDT,-1.341995351111699,0.8167035936064619,0.07479276907585798,0.023142680172817714,0.018772196727296464,0.01873482089202927
67,DOGEUSDT,DOTUSDT,-1.8815674569026681,0.5893255719467269,-0.016055630604994604,0.017886901919665032,0.549968661194034,0.549951519102128
68,DOGEUSDT,LTCUSDT,-1.257772720416024,0.8421166172217143,0.007246987246701855,0.0010764839434287375,0.11441107833040642,0.11437734546476563
69,DOGEUSDT,TRXUSDT,-1.957525883634146,0.5505735689089801,0.001354086810150782,1.0068469814166716,0.4242929658056376,0.4242710366152901
