time,open,high,low,close,MACD,Signal,Daily Percentage Differencing
1724267280,214.88,214.89,214.8,214.89,-0.067410779,-0.056399815,0.01861764
1724267340,214.87,214.87,214.71,214.82,-0.068492896,-0.058818431,-0.032574806
1724267400,214.82,214.99,214.82,214.99,-0.05499891,-0.058054527,0.079136021
1724267460,214.99,215.01,214.92,214.97,-0.045395372,-0.055522696,-0.009302758
1724267520,214.99,214.99,214.92,214.94,-0.039747068,-0.05236757,-0.013955436
1724267580,214.94,214.98,214.9,214.9,-0.038059684,-0.049505993,-0.018609845
1724267640,214.89,214.98,214.89,214.97,-0.030719886,-0.045748772,0.03257329
1724267700,214.98,215.03,214.89,215.01,-0.021428364,-0.04088469,0.018607248
1724267760,215.03,215.05,214.99,215.05,-0.0107136,-0.034850472,0.018603786
1724267820,215.05,215.08,215.04,215.07,-0.000601309,-0.028000639,0.009300163
1724267880,215.08,215.11,214.98,214.98,0.000148792,-0.022370753,-0.041846841
1724267940,214.98,214.99,214.93,214.94,-0.002456101,-0.018387823,-0.018606382
1724268000,214.94,214.94,214.78,214.83,-0.013243911,-0.01735904,-0.051177073
1724268060,214.84,214.89,214.8,214.85,-0.019949529,-0.017877138,0.009309687
1724268120,214.84,214.84,214.66,214.73,-0.034548523,-0.021211415,-0.055852921
1724268180,214.73,214.8,214.72,214.79,-0.040806441,-0.02513042,0.027942067
1724268240,214.8,214.88,214.79,214.86,-0.039660292,-0.028036394,0.032589972
1724268300,214.85,214.96,214.83,214.95,-0.031130856,-0.028655287,0.041887741
1724268360,214.99,215.08,214.98,215.06,-0.015318553,-0.02598794,0.051174692
1724268420,215.08,215.08,215.035,215.08,-0.001159984,-0.021022349,0.00929973
1724268480,215.07,215.17,215.07,215.17,0.017125618,-0.013392755,0.041844895
1724268540,215.16,215.26,215.16,215.17,0.031256781,-0.004462848,0
1724268600,215.16,215.16,215.08,215.16,0.041174281,0.004664578,-0.004647488
1724268660,215.16,215.18,215.13,215.18,0.050070621,0.013745786,0.009295408
1724268720,215.18,215.18,215.06,215.1,0.050088317,0.021014292,-0.037178176
1724268780,215.1,215.32,215.1,215.32,0.067081231,0.03022768,0.10227801
1724268840,215.315,215.4,215.24,215.4,0.086012076,0.041384559,0.037154003
1724268900,215.39,215.47,215.37,215.38,0.098268298,0.052761307,-0.009285051
1724268960,215.37,215.38,215.335,215.35,0.104357723,0.06308059,-0.01392887
