url,title,views,hashtags
https://www.tiktok.com/@cryptomasun/video/7346747386397494533,3 reasons I am holding #Floki for my memecoin portfolio this run  #crypto #bitcoin #money #greenscreen #greenscreenvideo ,85900,"['floki', 'crypto', 'bitcoin', 'money', 'greenscreen', 'greenscreenvideo']"
https://www.tiktok.com/@cryptomasun/video/7345238282772466950,"Why #Ethereum may not be the future of money, im still bullish tho. #crypto #money #greenscreen ",70100,"['ethereum', 'crypto', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7345237770002009349,My thoughts on the Syncus project excited to see what they can do from here! All crypto is risky! Invest at your own risk! #crypto #bitcoin #money #greenscreen ,68000,"['crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7345192119365078278,"Bitcoin just effortlessly made a new all time high, here are my thoughts! #bitcoin #crypto #money #greenscreen ",63400,"['bitcoin', 'crypto', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7345127982098402566,New Solana coin added to my bull market portfolio  #crypto #bitcoin #money #solana ,116200,"['crypto', 'bitcoin', 'money', 'solana']"
https://www.tiktok.com/@cryptomasun/video/7344856929140886789,I have added another crypto #memecoin to my portfolio. Risk is HIGHER with memecoins so only use what you can afford to lose! #crypto #money #bitcoin #greenscreen ,62400,"['memecoin', 'crypto', 'money', 'bitcoin', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7344049507950284038,"Top 3 crypto coins that have NOT launched yet, that I will be buying & am bullish on! #crypto #money #bitcoin ",95700,"['crypto', 'money', 'bitcoin']"
https://www.tiktok.com/@cryptomasun/video/7343009050990284038,This is why #Bitcoin just dumped hard… #crypto #money ,100000,"['bitcoin', 'crypto', 'money']"
https://www.tiktok.com/@cryptomasun/video/7343008688661073157,This is the NUMBER ONE crypto project airdrop I am watching coming up here #crypto #bitcoin #money ,262600,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7343006143905664262,Memecoins that could actually hit $1 (one of these already did it!) #crypto #memecoin #bitcoin #dogecoin ,52000,"['crypto', 'memecoin', 'bitcoin', 'dogecoin']"
https://www.tiktok.com/@cryptomasun/video/7342999149006146822,"Just went in on my second memecoin for this #crypto cycle , lets see how we do lmao! #bitcoin #money #memcoin #greenscreen ",68600,"['crypto', 'bitcoin', 'money', 'memcoin', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7342938583386344709,Crypto & Bitcoin is pumping right now! New all time high has almost been put in. #crypto #bitcoin #money ,185700,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7342556783312981253,Everybody is a genius in a crypto bull market… BUT… #crypto #bitcoin #money ,54600,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7342554770021928197,Urgent Update From Crypto Mason ‼🫡 #crypto #bitcoin #memecoin #memcoins #dogecoin #money ,149600,"['crypto', 'bitcoin', 'memecoin', 'memcoins', 'dogecoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7342177797458218245,Replying to @Crypto james Should you  convince family & friends to invest in crypto ‼ #crypto #bitcoin #money ,21100,"['/@cryptojames2022', 'crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7341453430902377734,Replying to @HARRAHDISE Hows my #XRP doing these days!? #crypto ,67800,"['/@harrahdise', 'xrp', 'crypto']"
https://www.tiktok.com/@cryptomasun/video/7341442332547484933,Huge new crypto coming for the Hedera ecosystem. Pay attention! #crypto #hbar #hedera #bitcoin #money ,45500,"['crypto', 'hbar', 'hedera', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7341439466617277702,The ONE crypto you NEED in your portfolio in my opinion! #crypto #bitcoin #money ,145000,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7341124543748001029,How to know WHEN to sell your #crypto ⏰ #bitcoin #money ,59500,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7341123498024160518,Top #crypto I am buying for March 2024  #bitcoin #money ,2100000,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7341085242645597446,My personal new method of finding #crypto gems for the bull market using #AI 🤫 #bitcoin #money ,40200,"['crypto', 'ai', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7339974553440931078,Why crypto is an IRL  glitch #money #crypto #millionaire ,30600,"['money', 'crypto', 'millionaire']"
https://www.tiktok.com/@cryptomasun/video/7339967858576788742,Explaining this seemingly huge #HBAR news! Learn how to read between the lines with certain pieces of crypto news! #crypto #bitcoin #money ,33300,"['hbar', 'crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7338857430362639621,We are having an amazing month for #HBAR right now! #crypto #bitcoin #money ,47900,"['hbar', 'crypto', 'bitcoin', 'money']"
